SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 318, 5, 11.8258846363283, Accidental, 
1, 318, 0, 11.8258846363283, Lightning, 
1, 319, 5, 12.9781653309757, Accidental, 
1, 319, 0, 12.9781653309757, Lightning, 
2, 46, 6, 11.233545854449, Accidental, 
2, 60, 5, 10.2832366497385, Accidental, 
2, 60, 0, 10.2832366497385, Lightning, 
2, 75, 6, 10.312027387688, Accidental, 
2, 75, 0, 10.312027387688, Lightning, 
2, 81, 6, 11.1697749837823, Accidental, 
2, 82, 6, 10.3373145373601, Accidental, 
2, 82, 0, 10.3373145373601, Lightning, 
2, 86, 5, 11.7032974637244, Accidental, 
2, 86, 0, 11.7032974637244, Lightning, 
2, 87, 5, 11.6390573653303, Accidental, 
2, 88, 5, 10.6852131030422, Accidental, 
2, 96, 6, 10.3745269300606, Accidental, 
2, 96, 0, 10.3745269300606, Lightning, 
2, 104, 6, 10.7856498301854, Accidental, 
2, 104, 0, 10.7856498301854, Lightning, 
2, 106, 6, 10.4100059078264, Accidental, 
2, 108, 5, 12.1605430420213, Accidental, 
2, 108, 0, 12.1605430420213, Lightning, 
2, 109, 5, 13.8316169782521, Accidental, 
2, 109, 0, 13.8316169782521, Lightning, 
2, 110, 5, 14.7829362405332, Accidental, 
2, 110, 0, 14.7829362405332, Lightning, 
2, 111, 5, 12.047962956569, Accidental, 
2, 112, 5, 11.9903570730434, Accidental, 
2, 113, 5, 13.3243325937688, Accidental, 
2, 113, 0, 13.3243325937688, Lightning, 
2, 114, 6, 10.2870486608611, Accidental, 
2, 115, 5, 10.9476429643246, Accidental, 
2, 116, 5, 11.7979015175665, Accidental, 
2, 117, 5, 13.8898128170221, Accidental, 
2, 118, 5, 13.3056849043637, Accidental, 
2, 118, 0, 13.3056849043637, Lightning, 
2, 119, 5, 14.8924012653126, Accidental, 
2, 119, 0, 14.8924012653126, Lightning, 
2, 120, 5, 15.0149886870908, Accidental, 
2, 120, 0, 15.0149886870908, Lightning, 
2, 120, 1, 15.0149886870908, Rx, 
2, 121, 5, 13.2889696561456, Accidental, 
2, 121, 0, 13.2889696561456, Lightning, 
2, 124, 5, 11.3055899835662, Accidental, 
2, 124, 0, 11.3055899835662, Lightning, 
2, 126, 5, 10.5403953562014, Accidental, 
2, 127, 5, 13.2840650611135, Accidental, 
2, 128, 5, 11.3436488464239, Accidental, 
2, 129, 5, 13.3157353397779, Accidental, 
2, 130, 4, 15.6914850049776, Accidental, 
2, 130, 0, 15.6914850049776, Lightning, 
2, 130, 1, 15.6914850049776, Rx, 
2, 131, 5, 14.1972298749173, Accidental, 
2, 132, 5, 12.8234741700463, Accidental, 
2, 132, 0, 12.8234741700463, Lightning, 
2, 133, 5, 14.47029748291, Accidental, 
2, 133, 0, 14.47029748291, Lightning, 
2, 134, 6, 11.6867604479317, Accidental, 
2, 134, 0, 11.6867604479317, Lightning, 
2, 136, 6, 10.377705408701, Accidental, 
2, 136, 0, 10.377705408701, Lightning, 
2, 137, 5, 11.1772756381318, Accidental, 
2, 137, 0, 11.1772756381318, Lightning, 
2, 138, 6, 10.9951042444875, Accidental, 
2, 138, 0, 10.9951042444875, Lightning, 
2, 139, 5, 14.5328226580706, Accidental, 
2, 139, 0, 14.5328226580706, Lightning, 
