"","FRI","mean","ID","Model","rep"
"422",2,532.963985017237,"WhitePine","IPSL-CM5A-MR",3
"423",3,603.259403372244,"WhitePine","IPSL-CM5A-MR",3
"424",4,NA,"WhitePine","IPSL-CM5A-MR",3
"425",5,718.724493245726,"WhitePine","IPSL-CM5A-MR",3
"426",1,553.599163073802,"Maples","IPSL-CM5A-MR",3
"427",2,965.605542296473,"Maples","IPSL-CM5A-MR",3
"428",3,1313.9060549226,"Maples","IPSL-CM5A-MR",3
"429",4,NA,"Maples","IPSL-CM5A-MR",3
"430",5,1683.99876036905,"Maples","IPSL-CM5A-MR",3
"431",1,1964.28899315242,"MesicHard","IPSL-CM5A-MR",3
"432",2,2870.70201869531,"MesicHard","IPSL-CM5A-MR",3
"433",3,3526.77423508664,"MesicHard","IPSL-CM5A-MR",3
"434",4,NA,"MesicHard","IPSL-CM5A-MR",3
"435",5,3999.61780658817,"MesicHard","IPSL-CM5A-MR",3
"436",1,0.780877504438245,"Hemlock","IPSL-CM5A-MR",3
"437",2,0.431583134447096,"Hemlock","IPSL-CM5A-MR",3
"438",3,0.596721066726385,"Hemlock","IPSL-CM5A-MR",3
"439",4,NA,"Hemlock","IPSL-CM5A-MR",3
"440",5,0.887183783863239,"Hemlock","IPSL-CM5A-MR",3
"441",1,48.7868020304569,"Yellowpines","MRI-CGCM3",3
"442",2,47.6821584529008,"Yellowpines","MRI-CGCM3",3
"443",3,52.2345297029703,"Yellowpines","MRI-CGCM3",3
"444",4,NA,"Yellowpines","MRI-CGCM3",3
"445",5,69.3311713086609,"Yellowpines","MRI-CGCM3",3
"446",1,4019.08629441624,"Whiteoaks","MRI-CGCM3",3
"447",2,4566.6833437305,"Whiteoaks","MRI-CGCM3",3
"448",3,5237.4544012995,"Whiteoaks","MRI-CGCM3",3
"449",4,NA,"Whiteoaks","MRI-CGCM3",3
"450",5,5950.33112580463,"Whiteoaks","MRI-CGCM3",3
"451",1,1127.59390862944,"XeriredOaks","MRI-CGCM3",3
